Tools,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473390,1479.343,1,OK,75.8218665,-48.9747155,140.8937673,20.538,-82.079,-14.069,0.0407986,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473398,1479.368,1,OK,76.0085526,-48.8780943,140.7671662,20.493,-82.061,-14.05,0.0376673,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473406,1479.393,1,OK,76.3734503,-48.6629269,140.4360736,20.433,-82.047,-14.069,0.038098,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473414,1479.418,1,OK,76.5595396,-48.5042727,140.2971765,20.417,-82.031,-14.104,0.0373019,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473422,1479.443,1,OK,75.9820108,-48.7474291,140.7760096,20.395,-81.957,-14.316,0.0390921,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473430,1479.468,1,OK,76.013175,-48.7471663,140.67971,20.441,-82.032,-14.075,0.0359523,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473438,1479.493,1,OK,76.0388134,-48.4048758,140.81914,20.376,-82,-14.429,0.0504618,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473446,1479.518,1,OK,76.2004377,-47.6282582,140.7361079,20.339,-82.001,-14.112,0.0391053,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473454,1479.543,1,OK,75.9467169,-47.3037306,140.9261147,20.339,-81.992,-14.087,0.0372554,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473462,1479.568,1,OK,75.7774938,-46.9895808,140.9927615,20.37,-82.005,-14.071,0.033061,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473470,1479.593,1,OK,75.7761456,-46.6202527,140.9923176,20.355,-81.999,-14.034,0.0306342,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473478,1479.618,1,OK,75.7605463,-46.2612615,141.1068257,20.373,-82.001,-14.063,0.0367629,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473486,1479.643,1,OK,75.7879388,-46.0284285,141.2152645,20.319,-81.987,-13.993,0.0328596,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473494,1479.668,1,OK,76.0792389,-46.2306291,141.0230671,20.233,-81.675,-14.056,0.0370704,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473502,1479.693,1,OK,78.6969394,-45.8722772,139.7924534,20.274,-80.597,-11.691,0.1377917,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473510,1479.718,1,OK,79.3537738,-46.5329167,139.5139644,20.017,-79.223,-10.438,0.0310573,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473518,1479.743,1,OK,79.1740355,-46.2618555,139.6697632,20.169,-79.201,-10.288,0.0336725,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473526,1479.768,1,OK,78.5371427,-46.0383514,139.8863974,20.548,-79.394,-10.084,0.0307702,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473534,1479.793,1,OK,77.9165147,-45.9194193,139.9541694,21.141,-79.556,-9.506,0.0402599,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473542,1479.818,1,OK,77.6655819,-45.8594083,139.7974676,21.794,-79.748,-8.981,0.0307283,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473550,1479.843,1,OK,77.3250388,-45.7665064,139.9176237,22.18,-79.86,-8.709,0.0302434,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473558,1479.868,1,OK,77.3335988,-45.6666891,139.9295565,22.398,-79.974,-8.686,0.0351908,0
